x,y,z
13333771.39,3407352.89,5000.00
13333899.49,3406899.97,5000.00
13334060.31,3406305.17,5000.00
13334249.74,3405588.53,5000.00
13334463.70,3404770.10,5000.00
13334698.10,3403869.90,5000.00
13334948.86,3402907.96,5000.00
13335211.88,3401904.32,5000.00
13335483.08,3400879.01,5000.00
13335758.37,3399852.06,5000.00
13336033.65,3398843.52,5000.00
13336304.85,3397873.40,5000.00
13336567.87,3396961.75,5000.00
13336818.63,3396128.60,5000.00
13337053.03,3395393.97,5000.00
13337267.00,3394777.92,5000.00
13337456.43,3394300.46,5000.00
13337617.24,3393981.63,5000.00
13337745.34,3393841.46,5000.00
13337854.49,3393906.95,5000.00
13337935.50,3394185.30,5000.00
13337991.29,3394650.32,5000.00
13338024.76,3395275.81,5000.00
13338038.83,3396035.58,5000.00
13338036.40,3396903.42,5000.00
13338020.39,3397853.15,5000.00
13337993.71,3398858.58,5000.00
13337959.27,3399893.49,5000.00
13337919.98,3400931.70,5000.00
13337878.74,3401947.02,5000.00
13337838.48,3402913.25,5000.00
13337802.10,3403804.18,5000.00
13337772.51,3404593.64,5000.00
13337752.62,3405255.41,5000.00
13337745.34,3405763.31,5000.00
13337745.34,3407117.40,5000.00
13337745.34,3407323.46,5000.00
13337745.34,3407352.89,5000.00
