x,y,z
13348708.31,3411169.92,5000.00
13348836.42,3410716.99,5000.00
13348997.23,3410122.19,5000.00
13349186.66,3409405.56,5000.00
13349400.62,3408587.13,5000.00
13349635.02,3407686.92,5000.00
13349885.78,3406724.98,5000.00
13350148.80,3405721.34,5000.00
13350420.00,3404696.03,5000.00
13350695.29,3403669.09,5000.00
13350970.57,3402660.54,5000.00
13351241.77,3401690.43,5000.00
13351504.80,3400778.78,5000.00
13351755.55,3399945.62,5000.00
13351989.96,3399211.00,5000.00
13352203.92,3398594.94,5000.00
13352393.35,3398117.48,5000.00
13352554.16,3397798.65,5000.00
13352682.26,3397658.49,5000.00
13352791.41,3397723.98,5000.00
13352872.42,3398002.33,5000.00
13352928.21,3398467.35,5000.00
13352961.68,3399092.84,5000.00
13352975.75,3399852.60,5000.00
13352973.32,3400720.45,5000.00
13352957.32,3401670.18,5000.00
13352930.63,3402675.60,5000.00
13352896.19,3403710.52,5000.00
13352856.90,3404748.73,5000.00
13352815.67,3405764.05,5000.00
13352775.40,3406730.27,5000.00
13352739.02,3407621.21,5000.00
13352709.43,3408410.66,5000.00
13352689.54,3409072.44,5000.00
13352682.26,3409580.34,5000.00
13352682.26,3410934.43,5000.00
13352682.26,3411140.48,5000.00
13352682.26,3411169.92,5000.00
